CookerStat, GenerateAssetRegistry=0.074714, Initialize=0.364065, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
DDCTransactionIdFE1A185B0A438C9D9BFB7297DE167385_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E08B3B244415057E30C8B7B1C0E75BF4_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.02-10.20.03, Duration=1424.641113, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
DDCTransactionId0AA431014B48AEA4EFE77193A956411C_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E08B3B244415057E30C8B7B1C0E75__AED117DFC8B0BA66A2EF5066CC9250BCCCE6E282, StartTime=2016.05.02-10.20.05, HierarchicalDDC=, DataSize=8388873, Duration=60.735222, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
DDCTransactionIdC4809EA03841E2C02FCB628E8E1064C9_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E08B3B244415057E30C8B7B1C0E75__E6982D58CB37C13CDCF91E44570B067191C45DBB, StartTime=2016.05.02-10.20.05, HierarchicalDDC=, DataSize=2097417, Duration=6.557733, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
DDCTransactionId1F6468715F4B722BF7841CACE7A7F7E0_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E08B3B244415057E30C8B7B1C0E75__AE6CB342F77DD0C50AD32CE51B68C53665695D57, StartTime=2016.05.02-10.20.05, HierarchicalDDC=, DataSize=524553, Duration=2.298687, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
DDCTransactionId1F6468715F4B722BF7841CACE7A7F7E0_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E08B3B244415057E30C8B7B1C0E75__AD69135FA7C8BB17083FB6F2C284A140C18EE146, StartTime=2016.05.02-10.20.05, HierarchicalDDC=, DataSize=131335, Duration=1.313783, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
DDCTransactionIdC4809EA03841E2C02FCB628E8E1064C9_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E08B3B244415057E30C8B7B1C0E75__A7338D0FA3CB9C950F5AC1C7A44A10076980FB3F, StartTime=2016.05.02-10.20.05, HierarchicalDDC=, DataSize=33031, Duration=0.834290, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
DDCTransactionId1F6468715F4B722BF7841CACE7A7F7E0_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E08B3B244415057E30C8B7B1C0E75__DCBA0E5C33708E00182593B5EE1CA4436A145696, StartTime=2016.05.02-10.20.05, HierarchicalDDC=, DataSize=8455, Duration=0.694018, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
DDCTransactionIdC4809EA03841E2C02FCB628E8E1064C9_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E08B3B244415057E30C8B7B1C0E75__2D321F9EA9C1863304561665BBE0D8EFC76AAC2B, StartTime=2016.05.02-10.20.05, HierarchicalDDC=, DataSize=5046, Duration=0.822838, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
MaterialTransactionIdD2D662FDF04E5E5AEA143184CBE1F26C_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_MAC_3900__BC5N_DEV_SL_NoDBuf_EARLYZ35D4844D3496C5895D9F0F3BA7CAA8A5F_Num_SM4__0___TBasePassVSFCachedVolumeIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TGPUSkinVertexFactoryfalseC2B2EA0D25C8603C8CE26A10A69C3DC125A835F813222222222222020000000_TGPUSkinVertexFactorytrueC2B2EA0D25C8603C8CE26A10A69C3DC125A835F813222222222222020000000_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C76327422420000000005880004040404040404040404043434344444343434340404040404040404040434343404040404404040404040404040404040434343444443434343404040404040404040404343434040401610101010100042424444444444444442414141434141414141313141414144434144404444444444444441414141414141414143414341414141414141414141413131444441424144444441410101000444341434141414144444443434143444444440444444444444444444444444444444444444444444444444444444444444444444444444440401010101010101010101010101010101010101010101010121044343434344414444444444444444010101010101010101010101010130143414342414141424441413033131314144444444012443430000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D000000080000000C0000008CCECBFC535F9BE3FD8FF5D4163500C6445A89870000000000000000000000000000000000000000, ShaderCompilation=27190.166016, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
MaterialTransactionIdD2D662FDF04E5E5AEA143184CBE1F26C_1, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_MAC_3900__BC5N_DEV_SL_NoDBuf_EARLYZ315F3467C4B1B2EF146ED71A77F1BA064_Num_SM4__0___TBasePassVSFCachedVolumeIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TGPUSkinVertexFactoryfalseC2B2EA0D25C8603C8CE26A10A69C3DC125A835F813222222222222020000000_TGPUSkinVertexFactorytrueC2B2EA0D25C8603C8CE26A10A69C3DC125A835F813222222222222020000000_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C76327422420000000005880004040404040404040404043434344444343434340404040404040404040434343404040404404040404040404040404040434343444443434343404040404040404040404343434040401610101010100042424444444444444442414141434141414141313141414144434144404444444444444441414141414141414143414341414141414141414141413131444441424144444441410101000444341434141414144444443434143444444440444444444444444444444444444444444444444444444444444444444444444444444444440401010101010101010101010101010101010101010101010121044343434344414444444444444444010101010101010101010101010130143414342414141424441413033131314144444444012443430000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D000000080000000C0000007BEC7837F02E31123DCF4504DBA3143F17FD063E0000000000000000000000000000000000000000, ShaderCompilation=27169.998047, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
MaterialTransactionIdD2D662FDF04E5E5AEA143184CBE1F26C_2, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_GLSL_150_MAC_3900__BC5N_DEV_SL_NoDBuf_EARLYZ37BAF65AB487615A5664F1FAC5D8AD0FC_Num_SM4__0___TBasePassVSFCachedVolumeIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFogA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicySkylight25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyA21A335C32F1DBB237A31A83520B779AE20FA0242094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy25403987F320C159FD99EFC5E877D2E6C16DB1122144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TGPUSkinVertexFactoryfalseC2B2EA0D25C8603C8CE26A10A69C3DC125A835F813222222222222020000000_TGPUSkinVertexFactorytrueC2B2EA0D25C8603C8CE26A10A69C3DC125A835F813222222222222020000000_FLocalVertexFactory71F4352AB4AC80DC6F33DA193BB05CD139C76327422420000000005880004040404040404040404043434344444343434340404040404040404040434343404040404404040404040404040404040434343444443434343404040404040404040404343434040401610101010100042424444444444444442414141434141414141313141414144434144404444444444444441414141414141414143414341414141414141414141413131444441424144444441410101000444341434141414144444443434143444444440444444444444444444444444444444444444444444444444444444444444444444444444440401010101010101010101010101010101010101010101010121044343434344414444444444444444010101010101010101010101010130143414342414141424441413033131314144444444012443430000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D000000080000000C000000A2EF82D12031ECF3D28EFA6F4F0088DD3518D4B90000000000000000000000000000000000000000, ShaderCompilation=27160.447266, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
DDCTransactionIdFE1A185B0A438C9D9BFB7297DE167385_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3FD4FA954E73D2FE1A29D4A2D637DDFC_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.02-10.20.05, Duration=2493.332520, RunGuid=RunID43E5862A3A438B9CBF7D7486E4CDBEFB
