CookerStat, GenerateAssetRegistry=0.088613, Initialize=0.364039, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdA13096E22F4F8880C1B619A64E0EF60C_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_01036CF74B7C96300468C48E8F24B76A__1_0_13123_0, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=458, Duration=0.585400, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdF360675A5249F3A6895FEEB18AAD93A7_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_02F8A75C447D3FBE732E96B1CD2A37FD_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.04-09.00.32, Duration=67.547226, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionId91A808436145D5975DDE36902BC2F288_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_02F8A75C447D3FBE732E96B1CD2A3__0D63CEE26327195ABE9B4525A4A59214CAE24657, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=262407, Duration=1.217328, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdBAC511FE904F3D92DB755B824FC83C4B_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_02F8A75C447D3FBE732E96B1CD2A3__CFA0AA38259D7A25FFEA813083068D06D9A3F9C8, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=65799, Duration=0.917457, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdA13096E22F4F8880C1B619A64E0EF60C_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_02F8A75C447D3FBE732E96B1CD2A3__5FB29FEFBCAD8BBDB316F6A9B67D1AA330B89F17, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=16647, Duration=0.800163, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdF360675A5249F3A6895FEEB18AAD93A7_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_60A242054BEB9381CD40FD89EEE2CC19_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.04-09.00.32, Duration=0.656020, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdA13096E22F4F8880C1B619A64E0EF60C_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_02F8A75C447D3FBE732E96B1CD2A3__BA764D0A65F14D1C62ED5BA9B1561A87EC8B493E, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=6899, Duration=0.611477, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdBAC511FE904F3D92DB755B824FC83C4B_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_60A242054BEB9381CD40FD89EEE2C__FA9E2E81577C980FB7C195FD6F01C67A16AFB940, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=6014, Duration=0.560984, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdF360675A5249F3A6895FEEB18AAD93A7_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_A2BEB1D445B1FED228164B97C40EF458_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.04-09.00.32, Duration=17.164598, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionId91A808436145D5975DDE36902BC2F288_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_A2BEB1D445B1FED228164B97C40EF458__E2770650D52B82205A006E3E9AC0AAA8D624C4D8, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=131332, Duration=0.952303, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
DDCTransactionIdA13096E22F4F8880C1B619A64E0EF60C_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_A2BEB1D445B1FED228164B97C40EF458__257FD0C28E9A62B8A92ACB99FA0CBE0B1BFACE2F, StartTime=2016.05.04-09.00.32, HierarchicalDDC=, DataSize=33028, Duration=0.861436, RunGuid=RunIDDC677FFB7942486D313EFB9933E4D707
