CookerStat, GenerateAssetRegistry=0.027560, Initialize=0.182897, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdCEE9C5E202476A6D4FEDA8B122E7F2F5_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5AE48C843626C60D26728B361A98217_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000100040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.06-10.20.58, Duration=3401.276855, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44CD01686F4CF0628E1F59B403E9F373_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5AE48C843626C60D26728B361A98217___3A2EE3FB0CB0FADFF01050EB26DE08E588A44547, StartTime=2016.05.06-10.21.01, HierarchicalDDC=, DataSize=16777477, Duration=399.761047, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdA38B5428AE47EBC0F026C2BEE1BBB5AB_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5AE48C843626C60D26728B361A98217___AE337BA682DC4194FA0D3981C4EC2F8A11AE3A9F, StartTime=2016.05.06-10.21.01, HierarchicalDDC=, DataSize=4194565, Duration=142.138123, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44A092AC7342F89A56869B82468BA07F_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5AE48C843626C60D26728B361A98217___3AB3D1BD2F01C69DC819E1800D0B2B5D8181AF18, StartTime=2016.05.06-10.21.01, HierarchicalDDC=, DataSize=1048837, Duration=112.497627, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44A092AC7342F89A56869B82468BA07F_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5AE48C843626C60D26728B361A98217___5B76F6F5EFC98A196517C32E52338DE3ECE73D5F, StartTime=2016.05.06-10.21.02, HierarchicalDDC=, DataSize=262403, Duration=21.692030, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44A092AC7342F89A56869B82468BA07F_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5AE48C843626C60D26728B361A98217___55000D053287B34D76DAB395F6F33407C9DFE78F, StartTime=2016.05.06-10.21.02, HierarchicalDDC=, DataSize=65795, Duration=58.188229, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44A092AC7342F89A56869B82468BA07F_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5AE48C843626C60D26728B361A98217___B22D6B96B8A72F64502F60C41EC2B019C14B1644, StartTime=2016.05.06-10.21.02, HierarchicalDDC=, DataSize=16643, Duration=26.535645, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdA38B5428AE47EBC0F026C2BEE1BBB5AB_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5AE48C843626C60D26728B361A98217___4D71570B996D5966EA0AC39F79388010A349B6F8, StartTime=2016.05.06-10.21.02, HierarchicalDDC=, DataSize=7761, Duration=26.066162, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdCEE9C5E202476A6D4FEDA8B122E7F2F5_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_25FB15844FD5BEE75161EBA78717E399_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.06-10.21.02, Duration=1960.478760, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionIdA38B5428AE47EBC0F026C2BEE1BBB5AB_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_25FB15844FD5BEE75161EBA78717E__B0AB9F22C03D83DAC970C6A667472907523240BF, StartTime=2016.05.06-10.21.04, HierarchicalDDC=, DataSize=8388873, Duration=308.895721, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44A092AC7342F89A56869B82468BA07F_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_25FB15844FD5BEE75161EBA78717E__368A664388972586F2190F1CA8F357604F065FFE, StartTime=2016.05.06-10.21.04, HierarchicalDDC=, DataSize=2097417, Duration=58.150372, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
DDCTransactionId44CD01686F4CF0628E1F59B403E9F373_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_25FB15844FD5BEE75161EBA78717E__24858351EFB1C84D03524139DEC7912586A0AF86, StartTime=2016.05.06-10.21.04, HierarchicalDDC=, DataSize=524553, Duration=53.684803, RunGuid=RunIDDAEEF693E548A1FDD31F378378CB2A87
