CookerStat, GenerateAssetRegistry=0.044655, Initialize=0.255611, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFE5F30F44C38E6875B943FA76CC0DE16_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D235EF721040859367FBE9AB76BE9C57_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.07-18.38.39, Duration=207.103638, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionId8C0A685A47DE60D02FA85C95CE2B15BE_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3C558E889741E74A39C6848821EC05BE__1_0_13123_0, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=458, Duration=2.375193, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFDE4E2F2473DC1ABF741898C57D7CDFB_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D235EF721040859367FBE9AB76BE9__D6464375D4EDE5027343082B2E304A3A4413DD20, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=262407, Duration=3.104687, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdD839DA2445C6513E88C6FDA35D18C141_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D235EF721040859367FBE9AB76BE9__2FA69F1B82FFC72476C9BA277712C298196662B2, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=65799, Duration=2.196956, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionId78FCE7BA4EE1338DC4999AA329AC13A8_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D235EF721040859367FBE9AB76BE9__9BE1F999CCAE3DE914871385C8EF6F56445E0250, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=16647, Duration=7.072836, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdD32AEDF24B4DA77C105A17B7A6969B01_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D235EF721040859367FBE9AB76BE9__A2196D29F925C0C95DEFE33D90F7F0646E2F6D3C, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=6899, Duration=2.697788, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFE5F30F44C38E6875B943FA76CC0DE16_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_706191836141A726B10825A28BDCF810_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.07-18.38.39, Duration=0.711787, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionId4CEBCE65461234EC00B94BA6DD4F8E05_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_706191836141A726B10825A28BDCF__4AE35F7FFBED378A4EFD8D528DD46D69D224077D, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=6014, Duration=1.194909, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdFE5F30F44C38E6875B943FA76CC0DE16_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_14F9315E2741C0D56254FCA9048F3666_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.07-18.38.39, Duration=14.693081, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionId344E1A224832A80AC8DF0DA661629425_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_14F9315E2741C0D56254FCA9048F3666__1EE304C7CF6EC6403BBE8DD70AFDC346156F935F, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=131332, Duration=1.883216, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionId8C0A685A47DE60D02FA85C95CE2B15BE_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_14F9315E2741C0D56254FCA9048F3666__B65A502A08078A1D0EEB40D41F286BF31F63BD4B, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=33028, Duration=1.849722, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
DDCTransactionIdD839DA2445C6513E88C6FDA35D18C141_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_14F9315E2741C0D56254FCA9048F3666__47A0C846AD7C409F6CD29C981634BC6168724683, StartTime=2016.05.07-18.38.39, HierarchicalDDC=, DataSize=8452, Duration=1.917474, RunGuid=RunIDFB36C7B94D74C9FEBE8239A75A8DBE06
